Item No.,Class,Prod Head,Item Desc.,UPC,U/M,Min. Qty,Packed,Retail Pack,Case Pack,Unit Weight, Price , Each Price , Retail ,Profit %,UPC 1,UPC 2,UPC 3,UPC 4,Stamp Tax 1,Stamp Tax 2,Stamp Tax 3,Stamp Tax 4,Stamp Tax 5,Allowance $,Category,Qmult,Custom Category,,,,,
201335,0,2525,SKOAL BANDIT WINTERGREEN GRN,73100001901,SLE,,00005 EA,05 SLE,18,0.25, $31.15 , $6.23 , $9.19 ,32.2,73100001901,73100011948,73100300189,,10.93,0,0,0,0,0,20,5,20,TOB,,,,
201459,0,2035,XXL BLUNTWRAP BLUEBERRY 25/2,6.19682E+11,BOX,,00025 EA,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20284,0,0,0,0,0,0,20,25,20,TOB,,,,
201467,0,2035,XXL BLUNTWRAP NAKED 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20279,0,0,0,0,0,0,20,25,20,TOB,,,,
201475,0,2000,ZIG ZAG KUTCORNER WHITE,8660000040,BOX,,00024 EA,24 BOX,25,0.31, $34.25 , $1.43 , $1.99 ,28.3,8660000040,8660007421,1.00087E+13,20182,0,0,0,0,0,0,30,24,30,SMAK,,,,
201533,0,2000,ZIG ZAG WHITE,8660000019,BOX,,00024 EA,24 BOX,25,0.33, $34.25 , $1.43 , $1.99 ,28.3,8660000019,8660007025,1.00087E+13,20175,0,0,0,0,0,0,30,24,30,SMAK,,,,
201541,0,2000,ZIG ZAG FRENCH ORANGE,8660000026,BOX,,00024 EA,24 BOX,25,0.23, $34.25 , $1.43 , $1.99 ,28.3,8660000026,8660007247,1.00087E+13,20178,0,0,0,0,0,0,30,24,30,SMAK,,,,
201624,0,2035,XXL BLUNTWRAP OGK (KUSH) 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20283,0,0,0,0,0,0,20,25,20,TOB,,,,
201632,0,2035,XXL BLUNTWRAP PEACH 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20285,0,0,0,0,0,0,20,25,20,TOB,,,,
201640,0,2035,XXL BLUNTWRAP PURPLE GRAPE 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20281,0,0,0,0,0,0,20,25,20,TOB,,,,
201657,0,2035,XXL BLUNTWRAP SOUR APPLE 25/2,6.19682E+11,BOX,,00025 EA,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20282,0,0,0,0,0,0,20,25,20,TOB,,,,
201665,0,2035,XXL BLUNTWRAP MANGO 25/2,6.19682E+11,BX,,00025 EAC,25 BOX,50,0.43, $13.16 , $0.53 , $0.99 ,46.8,6.19682E+11,6.19682E+11,6.19682E+11,20280,0,0,0,0,0,0,20,25,20,TOB,,,,
201707,0,2525,SKOAL LC CLASSIC,73100005411,SLE,,00005 EA,05 SLE,18,1, $31.15 , $6.23 , $9.19 ,32.2,73100005411,73100011016,73100302091,,10.93,0,0,0,0,0,20,5,20,TOB,,,,
201848,0,2420,BACKWOODS 8/5PK HONEY BOURBON,71610302266,BOX,,00008 EA,8 5PK,30,0.4, $43.04 , $5.39 , $8.49 ,36.6,71610302266,71610302273,71610302280,,15.1,0,0,0,0,0,20,8,20,TOB,,,,
202028,0,2525,SKOAL LC SPEARMINT,73100002885,SLE,,00005 EA,05 SLE,18,1, $31.15 , $6.23 , $9.19 ,32.2,73100002885,73100011054,73100302138,,10.93,0,0,0,0,0,20,5,20,TOB,,,,
202515,0,2525,KAYAK POUCH WINTERGREEN 10ct DISP,33300000906,DIS,,00010 EA,10 BOX,18,0, $12.76 , $1.28 , $1.59 ,19.8,33300000906,33300613113,33300713110,,4.55,0,0,0,0,0,20,10,20,TOB,,,,
202580,0,2525,GRIZZLY LC WINTERGREEN,42100008715,SLE,,00005 EA,05 SLE,18,0.55, $25.31 , $5.07 , $7.49 ,32.4,42100008715,42100008722,42100018714,23491,8.88,0,0,0,0,0,20,5,20,TOB,,,,
202606,0,2525,GRIZZLY LC STRAIGHT,42100008869,SLE,,00005 EA,05 SLE,18,0.55, $25.31 , $5.07 , $7.49 ,32.4,42100008869,42100008876,42100018868,23493,8.88,0,0,0,0,0,20,5,20,TOB,,,,
202614,0,2525,GRIZZLY LC MINT,42100009101,SLE,,00005 EA,05 SLE,18,0.55, $25.31 , $5.07 , $7.49 ,32.4,42100009101,42100009118,42100019100,23494,8.88,0,0,0,0,0,20,5,20,TOB,,,,
202697,0,2525,GRIZZLY WINTERGREEN POUCH,42100005431,SLE,,00005 EA,05 SLE,18,0.55, $25.31 , $5.07 , $7.49 ,32.4,42100005431,42100005448,42100015430,24471,8.88,0,0,0,0,0,20,5,20,TOB,,,,
