Category Code,Category Description,Retail UPC,Case UPC,GTIN, Vendor Item Number,Pack,Size,Description
,LIT PLF SWL,012000286186,012000286186,,134073 ,PPK12,18.5OZ PL ,LIT PLF SWL
,LIT PLF SWT,012000286193,012000286193,,134071 ,PPK12,18.5OZ PL ,LIT PLF SWT
,LIT PLF UNSNL GT,012000046445,012000046445,,154710 ,PPK12,18.5OZ PL ,LIT PLF UNSNL GT
,LIT PLF UNSNL WL,012000046438,012000046438,,154713 ,PPK12,18.5OZ PL ,LIT PLF UNSNL WL
,LIT PLF UNSNL,012000286209,012000286209,,134072 ,PPK12,18.5OZ PL ,LIT PLF UNSNL
,LPT PLF NTS PCH,012000041167,012000041167,,137643 ,PPK12,18.5OZ PL ,LPT PLF NTS PCH
,LIT PLF THC BTSLH,012000007200,012000007200,,154555 ,PPK12,14OZ Glass NR ,LIT PLF THC BTSLH
,LIT PLF THC BTWBS,012000007163,012000007163,,154829 ,PPK12,14OZ Glass NR ,LIT PLF THC BTWBS
,LIT PLF THCGTFAPG,012000007170,012000007170,,154553 ,PPK12,14OZ Glass NR ,LIT PLF THCGTFAPG
,AQ WTR,012000001574,012000001574,,30347 ,PPK15,1L PL ,AQ WTR
,BRSK IT STW MLN,012000161230,012000161230,,159492 ,PPK15,1L PL ,BRSK IT STW MLN
,BRSK SYM DKCH LIMEADE VENOM,012000180262,012000180262,,168110 ,PPK15,1L PL ,BRSK SYM DKCH LIMEADE VENOM
,BRSK FP,012000567490,012000567490,,125566 ,PPK15,1L PL ,BRSK FP
,BRSK GT MGO,012000512551,012000512551,,130344 ,PPK15,1L PL ,BRSK GT MGO
,BRSK GT PCH,012000034022,012000034022,,123248 ,PPK15,1L PL ,BRSK GT PCH
,BRSK HNY GNSNG,012000110184,012000110184,,138511,PPK15,1L PL ,BRSK HNY GNSNG
,BRSK LMND SF,012000638497,012000638497,,125571 ,PPK15,1L PL ,BRSK LMND SF
,BRSK MGO ,012000110191,012000110191,,138512,PPK15,1L PL ,BRSK MGO 
,BRSK RAZ,012000024528,012000024528,,105518 ,PPK15,1L PL ,BRSK RAZ
,BRSK STML,012000034039,012000034039,,123246 ,PPK15,1L PL ,BRSK STML
,BRSK SWT,012000031878,012000031878,,121995 ,PPK15,1L PL ,BRSK SWT
,BRSK PNAP PF,012000141652,012000141652,,150039 ,PPK15,1L PL ,BRSK PNAP PF
,BRSK TEA LMND,012000034015,012000034015,,123244 ,PPK15,1L PL ,BRSK TEA LMND
,BRSK TEA BLU LMND,012000140211,012000140211,,144453 ,PPK15,1L PL ,BRSK TEA BLU LMND
,DT LPT BRSK WL,012000024511,012000024511,,122957 ,PPK15,1L PL ,DT LPT BRSK WL
,LPT BRSK LMND,012000101908,012000101908,,125569 ,PPK15,1L PL ,LPT BRSK LMND
,LPT BRSK SWL,012000202384,012000202384,,105517 ,PPK15,1L PL ,LPT BRSK SWL
,Brisk Pink Lemonade,012000384196,012000384196,,127207 ,PPK15,1L PL ,Brisk Pink Lemonade
,LPT BRSK SWL STWR,012000202384,012000202384,,135012 ,PPK15,1L PL ,LPT BRSK SWL STWR
,CRSH ORG,078000013320,078000013320,,133058 ,PPK15,1L PL ,CRSH ORG
