10475,,,,,
Forecasted Items,,,,,
Generic PDCN,Brand Family,Brand,Container,UPC Unit,UPC Case
119L6MK,BUDWEISER,RITAS LIME-A-RITA,24/8 AL SLEEK CAN 2/12,18200009600,18200960932
119LY51,BUDWEISER,RITAS LIME-A-RITA,15/25 AL CAN SRINK,18200250149,18200958762
119N6MK,BUDWEISER,RITAS WATER-MELON-RITA,24/8 AL SLEEK CAN 2/12,18200000324,18200200847
119NY51,BUDWEISER,RITAS WATER-MELON-RITA,15/25 AL CAN SRINK,18200259081,18200284281
119Y044,HURRICANE,HURRICANE HIGH GRAVITY 8,24/16 AL CAN 6/4 SP TRAY,18200005329,18200966330
119Y131,HURRICANE,HURRICANE HIGH GRAVITY 8,12/40 NR BTL TE,18200005336,18200965845
119Y192,HURRICANE,HURRICANE HIGH GRAVITY 8,15/25 AL CAN 5/3 SHRINK,18200250125,18200958571
119Y251,HURRICANE,HURRICANE HIGH GRAVITY 8,15/25 AL CAN SRINK,18200250125,18200960109
11AFYM5,ESTRELLA,ESTRELLA JALISCO SPICY PINA MICHELADA,15/25 AL CAN SRINK,18200260094,18200285707
11AGCFP,GOLDEN ROAD,GOLDEN ROAD SPICY MANGO CART,24/12 AL CAN 4/6 CF,8.10628E+11,0
11AL3AC,MICHELOB,MICHELOB ULTRA LIME CACTUS PRICKLY PEAR,24/12 SLPLN 2/12 APL,18200007941,18200283260
11ALA78,MICHELOB,MICHELOB ULTRA LIME CACTUS PRICKLY PEAR,24/12 SLPLN 4/6  BSK APL,18200007941,18200964367
11ALLK6,MICHELOB,MICHELOB ULTRA LIME CACTUS PRICKLY PEAR,24/12 AL SLEEK CAN 2/12,18200004490,18200962240
11AM4L6,TEN BARREL,10 BARREL APOCALYPSE IPA,24/12 NR BTL 4/6 APL,8.51538E+11,8.51538E+11
11AM940,TEN BARREL,10 BARREL APOCALYPSE IPA,1/2 BARREL SV,8.51538E+11,0
11AN030,MONTEJO,MONTEJO BEER,30/12 AL CAN SP DSTK,18200001239,18200285738
11AN192,MONTEJO,MONTEJO BEER,15/25 AL CAN 5/3 SHRINK,18200260117,18200285745
11AN218,MONTEJO,MONTEJO BEER,18/12 AL CAN SP,#N/A,#N/A
11AN246,MONTEJO,MONTEJO BEER,24/12 AL CAN 2/12 SP CF,18200001239,18200982989
11AN251,MONTEJO,MONTEJO BEER,15/25 AL CAN SRINK,18200260117,18200285752
11AN940,MONTEJO,MONTEJO BEER,1/2 BARREL SV,18200392047,0
11ANMJ2,MONTEJO,MONTEJO BEER,24/12 NRLN 2/12 TGTR APL,18200001536,18200140334
11B0BK6,BECK'S,BECK'S NON-ALCOHOLIC,24/12 NRLN 4/6 BSKT,82488127103,82488127509
11B913S,STELLA ARTOIS,Stella Artois,15/19.2 AL CAN 5/3 CF,#N/A,#N/A
11B97S6,STELLA ARTOIS,Stella Artois,24/7 STNR 4/6 ET BSK,#N/A,#N/A
11B9AT8,STELLA ARTOIS,Stella Artois,18/11.2 NRLN,7.8615E+11,7.8615E+11
11B9B40,STELLA ARTOIS,Stella Artois,13.2 GAL SV,7.8615E+11,0
11B9B47,STELLA ARTOIS,Stella Artois,24/11.2 AL SLEEK CAN 2/12,7.8615E+11,7.8615E+11
11B9B48,STELLA ARTOIS,Stella Artois,24/11.2 AL CAN 4/6 SP CF,7.8615E+11,7.8615E+11
11B9B70,STELLA ARTOIS,Stella Artois,1/6 BARREL SV STELLA,7.8615E+11,0
11B9B92,STELLA ARTOIS,Stella Artois,24/19.2 AL CAN,7.8615E+11,7.8615E+11
11B9SL9,STELLA ARTOIS,Stella Artois,24/14.9 SLEEK CAN,18200005060,18200961854
11B9ST2,STELLA ARTOIS,Stella Artois,24/11.2 STNR 2/12 ET TGT,7.8615E+11,7.8615E+11
11B9ST3,STELLA ARTOIS,Stella Artois,12/22.4 OZ STNR BTL,7.8615E+11,7.8615E+11
11B9ST6,STELLA ARTOIS,Stella Artois,24/11.2 STNR 4/6 BSKT,7.8615E+11,7.8615E+11
11B9ST9,STELLA ARTOIS,Stella Artois,24/11.2 STNR,7.8615E+11,7.8615E+11
11BDB40,BODDINGTON'S,BODDINGTON'S PUB ALE,13.2 GAL SV,7.5337E+11,0
11BDBD4,BODDINGTON'S,BODDINGTON'S PUB ALE,24/16 AL CAN 6/4 SP TRAY,0,7.62274E+11
11BE4P6,FOUR PEAKS,FOUR PEAKS XEROCOLE DESERT IPA,24/12 NR BTL 4/6 APL,#N/A,#N/A
11BHB40,HOEGAARDEN,HOEGAARDEN WHEAT BEER,13.2 GAL SV,7.8615E+11,0
11BHHA2,HOEGAARDEN,HOEGAARDEN WHEAT BEER,24/11.2 NRLN 2/12 ET TGTR,7.8615E+11,7.8615E+11
11BHHA6,HOEGAARDEN,HOEGAARDEN WHEAT BEER,24/11.2 NRLN 4/6 ET BSKT,7.8615E+11,7.8615E+11
11BJ50C,SPATEN,SPATEN PREMIUM LAGER,13.2  GAL SV,18200250224,0
11BJE77,SPATEN,SPATEN PREMIUM LAGER,24/12 NRLN 4/6 BSKT,88394000011,88394000103
11BN50C,SPATEN,SPATEN OKTOBERFEST,13.2  GAL SV,18200250231,0
11BNE77,SPATEN,SPATEN OKTOBERFEST,24/12 NRLN 4/6 BSKT,88394000059,88394000127
11BYE77,SPATEN,SPATEN OPTIMATOR,24/12 NRLN 4/6 BSKT,88394000035,88394000110
11CEY55,BUDWEISER,CHELADA BUD LIGHT EXTRA LIME,15/25 AL CAN SRINK,18200255274,18200958519
11CF6CK,BUDWEISER,CHELADA BUDWEISER,24/8 AL SLEEK CAN 2/12,18200006418,18200960208
11CFY55,BUDWEISER,CHELADA BUDWEISER,15/25 AL CAN SRINK,18200255090,18200958717
11CFY92,BUDWEISER,CHELADA BUDWEISER,15/25 AL CAN 5/3 SHRINK,18200255090,18200281280
11CH6CK,BUDWEISER,CHELADA BUD LIGHT,24/8 AL SLEEK CAN 2/12,18200006593,18200960192
11CHP53,BUDWEISER,CHELADA BUD LIGHT,24/16 AL CAN 6/4 SP TRAY,18200008665,18200963711
11CHY55,BUDWEISER,CHELADA BUD LIGHT,15/25 AL CAN SRINK,18200255083,18200958724
11CHY92,BUDWEISER,CHELADA BUD LIGHT,15/25 AL CAN 5/3 SHRINK,18200255083,18200281297
11CJY55,BUDWEISER,CHELADA PICANTE,15/25 AL CAN SRINK,18200255106,18200958700
11DNH55,NATURAL LIGHT,NL HARD SELTZER CATALINA LIME MIXER,15/25 AL CAN SRINK,18200260315,18200286001
11DNHS6,NATURAL LIGHT,NL HARD SELTZER CATALINA LIME MIXER,24/12 AL CAN 2/12 SP CF,18200260346,18200286032
11DNHS8,NATURAL LIGHT,NL HARD SELTZER CATALINA LIME MIXER,24/12 AL CAN SP,18200260346,18200286094
11DOH55,NATURAL LIGHT,NL HARD SELTZER ALOHA BEACHES,15/25 AL CAN SRINK,18200260322,18200286018
11DOHS8,NATURAL LIGHT,NL HARD SELTZER ALOHA BEACHES,24/12 AL CAN SP,18200260339,18200286100
11E0TV1,TEAVANA,TEAVANA WELLNESS DEFENSE CINNAMON WHITE,12/12 T1NR,18200260421,18200286292
11E1TV1,TEAVANA,TEAVANA WELLNESS BALANCE WTMEL BASIL OOL,12/12 T1NR,18200260438,18200286308
11E2TV1,TEAVANA,TEAVANA WELLNESS REFRESH BLUEBERRY MINT,12/12 T1NR,18200260414,18200286285
11E4DN2,ST PAULI-GIRL,ST  PAULI GIRL LAGER US,24/12 NRLN 2/12 TGTR APL,80660944319,80660959399
11E4DN6,ST PAULI-GIRL,ST  PAULI GIRL LAGER US,24/12 NRLN 4/6 BSKT APL,80660944319,80660949390
11E5H55,NATURAL LIGHT,NATURAL LIGHT SELTZER HOUSE RULES,15/25 AL CAN SRINK,18200260469,18200286346
11E5HS6,NATURAL LIGHT,NATURAL LIGHT SELTZER HOUSE RULES,24/12 AL CAN 2/12 SP CF,18200260476,18200286353
11E6246,ELYSIAN,ELYSIAN CONTACT HAZE,24/12 AL CAN 2/12 SP CF,8.17904E+11,8.17904E+11
11E6940,ELYSIAN,ELYSIAN CONTACT HAZE,1/2 BARREL SV,#N/A,#N/A
